270,270,270,270,270,229,230,231,270,279,270,270,270,270,270,270,270,126,270,270,270,163,164,165,166,270,270,270,270,270,270,270,19,270,270,270,163,164,165,166
126,48,100,77,270,270,270,270,0,1,1,1,1,1,1,1,1,4,5,270,270,187,188,189,190,270,279,126,270,270,270,270,43,67,270,270,187,188,189,190
270,72,100,77,270,270,270,270,24,100,100,287,100,100,100,100,100,100,29,270,239,211,212,213,214,0,1,1,1,1,1,1,1,1,4,5,211,212,213,214
270,24,100,77,270,270,270,270,72,100,25,121,121,122,123,124,26,100,77,253,254,235,236,237,238,24,100,100,100,100,100,100,100,100,100,29,215,236,237,270
270,24,100,77,270,270,270,270,24,100,29,163,164,165,166,270,24,100,77,270,270,270,270,270,270,24,100,25,121,121,122,123,124,26,100,77,270,270,270,191
270,24,100,77,270,270,270,270,48,100,53,187,188,189,190,270,24,100,77,270,270,270,126,270,270,24,100,77,69,270,270,270,270,24,100,77,270,270,270,270
270,24,100,77,270,126,270,270,72,100,77,211,212,213,214,270,24,100,77,270,270,270,270,270,270,24,287,77,270,142,143,68,270,24,100,77,270,270,270,270
270,24,100,77,270,270,270,270,72,100,77,235,236,237,270,270,24,100,77,270,270,270,270,270,270,24,100,77,270,270,270,270,270,24,100,77,270,270,126,270
270,24,100,77,163,164,165,270,72,100,77,270,270,270,270,270,24,287,77,270,270,270,270,278,270,24,100,77,270,270,270,270,270,24,100,77,270,270,270,270
270,24,100,77,187,188,189,190,72,100,77,270,270,270,270,270,24,100,77,94,95,270,270,20,21,24,100,77,270,270,270,270,270,24,100,77,270,270,270,270
270,24,100,77,211,212,213,214,72,100,77,270,270,270,270,270,48,100,77,157,158,270,270,44,45,48,100,77,270,126,270,270,270,24,100,77,270,270,270,270
270,24,100,77,235,236,237,238,72,100,77,270,270,270,270,270,72,100,101,181,182,279,270,270,270,72,100,77,229,230,231,270,270,24,65,77,270,270,270,270
270,24,100,77,270,270,270,270,72,100,77,270,270,270,270,270,72,100,49,1,1,1,1,1,1,50,100,77,270,270,270,270,270,24,100,77,270,270,270,270
270,24,100,77,270,270,270,270,72,100,77,270,270,270,270,270,96,100,100,100,100,100,100,100,65,100,287,77,270,270,270,270,270,24,100,77,270,126,270,270
270,24,100,77,270,270,126,270,72,100,77,270,270,126,270,270,120,121,121,122,124,26,100,100,100,100,100,77,163,164,165,166,270,24,100,77,270,270,270,270
270,24,100,77,270,270,270,270,72,100,77,270,270,144,145,145,146,148,149,238,166,24,41,41,41,41,41,101,187,188,189,190,270,24,100,77,270,270,270,270
270,48,100,77,270,270,270,270,72,100,77,270,270,168,244,244,244,244,193,149,238,120,123,123,123,123,123,125,211,212,213,214,270,24,100,77,270,270,270,270
270,72,100,101,279,270,270,270,72,100,77,270,270,192,244,244,244,244,244,197,238,270,270,270,270,270,270,270,270,236,237,270,270,24,100,77,270,270,270,270
270,72,100,49,1,1,1,1,50,100,77,270,270,216,244,244,244,244,244,193,147,147,147,147,147,147,147,147,149,270,270,270,270,24,100,77,270,270,270,270
270,96,100,100,100,100,100,100,100,100,101,144,145,194,244,244,244,244,244,244,244,244,244,244,244,244,244,244,197,270,270,270,270,24,100,77,270,270,270,270
270,120,121,121,121,121,122,123,124,124,125,168,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,193,148,148,149,270,24,100,77,270,270,270,270
270,144,145,145,146,147,148,149,270,270,270,192,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,197,270,24,100,77,270,270,270,270
270,168,244,244,244,244,244,193,145,146,147,194,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,221,270,24,100,77,270,270,270,270
270,264,265,266,267,170,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,245,270,24,287,77,270,270,270,270
0,4,4,4,5,264,170,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,245,270,24,100,77,270,270,270,270
